"INT_ID","LOC_ID","LOC_NAME","LOC_NAME_ALT1","SCREEN_NAME","LAT","LONG","Z","FORMATION","SCREEN_DIAMETER_CM","SCREEN_TOP_DEPTH_M","WL_AVG_MASL","WL_AVG_TOTAL_NUM","WL_START_DATE_MDY","WL_END_DATE_MDY","nValues","MannKendall10yrTau","MannKendall10yrPstat","MannKendall10yrText","GAMrange"
-2147483645,-2147483645,"OGS-SS-11-02","Ont Geol Surv-SS-11-02 Bond Head","OGS-SS-11-02-s",44.0689964294434,-79.7141189575195,257.430999755859,"Mackinaw/Oak Ridges (ORMGP)",5.07999992370605,7.01040649414062,256.210845947266,72043,"07/25/2011","11/08/2022",2851,-0.0352504638218924,0.607298822229796,"MK no trend",0.445202237979704
-2147483644,-2147483644,"OGS-SS-11-03","Ont Geol Surv-SS-11-03 Tottenham","OGS-SS-11-03-s",43.9979553222656,-79.7964401245117,276,"Mackinaw/Oak Ridges (ORMGP)",5.07999992370605,15.3500061035156,271.087677001953,66165,"09/16/2011","11/08/2022",2562,-0.107116104868914,0.135781043526333,"MK no trend",0.478556553516657
-2147483551,-2147483461,"Caledon East DP 8R-06","Peel - Caledon East - DP 8R-06","Caledon East DP 8R-06d",43.8748737458163,-79.8628116552256,291.420013427734,"Mackinaw/Oak Ridges (ORMGP)",3.75,2.40000009536743,289.411682128906,67581,"09/20/2006","06/21/2023",2005,-0.506493506493506,3.67892767361155e-08,"MK decreasing trend",0.326066322240498
-2147483550,-2147483460,"Palgrave TW1-07d","Peel - Palgrave - TW 1R-07d","Palgrave TW 1R-07d",43.9586427578421,-79.8421287213952,288.269989013672,"Thorncliffe (ORMGP)",7.59999990463257,83.8000030517578,279.066345214844,165578,"06/18/2008","06/22/2023",4433,0.0763373310489244,0.254361250532745,"MK no trend",0.227796692215679
-2147483547,-2147483457,"Caledon East DP 4-08d","Peel - Caledon East - DP 4-08d","Caledon East DP 4-08d",43.8727489219917,-79.860060399964,288.959991455078,"Mackinaw/Oak Ridges (ORMGP)",2.5,1.10000610351562,288.559387207031,101591,"10/21/2008","06/21/2023",2599,-0.304347826086957,0.000198333949809282,"MK decreasing trend",0.133300783957335
-2147483533,-2147483435,"Alton EW 1-4","Peel - Alton - EW 1-4","Alton EW 1-4",43.8610954284668,-80.0652542114258,398.962524414062,"Mackinaw/Oak Ridges (ORMGP)",6.40000009536743,7.59999990463257,394.588287353516,72648,"03/11/2010","05/13/2015",1722,-0.341991341991342,0.0278467559641333,"MK decreasing trend",0.546933918298547
-2147483532,-2147483434,"Alton EW 3-3","Peel - Alton - EW 3-3","Alton EW 3-3",43.8615547174411,-80.0672526323263,399.589996337891,"Mackinaw/Oak Ridges (ORMGP)",6.34999990463257,9.14401245117188,391.926055908203,99534,"03/12/2010","06/20/2023",3543,-0.0652014652014652,0.325629118457963,"MK no trend",0.47321223779998
-2147483521,-2147483421,"Palgrave TW1-07s","Peel - Palgrave - TW 1R-07s","Palgrave TW 1R-07s",43.9586518858652,-79.8421410082157,287.880004882812,"Mackinaw/Oak Ridges (ORMGP)",7.59999990463257,39,279.137329101562,157903,"09/09/2007","06/22/2023",4607,-0.174979149291076,0.00678835134778888,"MK decreasing trend",0.25286008457722
-2147483520,-2147483420,"Palgrave OW 2Rd-09","Peel - Palgrave - OW 2R-09i","Palgrave OW 2R-09d",43.9588341935263,-79.8423618220341,288.605987548828,"Mackinaw/Oak Ridges (ORMGP)",6.40000009536743,41.1000061035156,279.895812988281,152068,"12/22/2009","06/22/2023",4437,-0.12006552006552,0.0621225896231363,"MK no trend",0.445355541850366
-2147483519,-2147483419,"Palgrave OW 2Rs-09","Peel - Palgrave - OW2R-09s","Palgrave OW 2Rs-09",43.9588341935263,-79.8423618220341,288.630004882812,"Halton Till",6.40000009536743,13.1000061035156,280.201629638672,141617,"12/22/2009","06/22/2023",4304,-0.159700985389059,0.0139399873900019,"MK decreasing trend",0.302480223413196
