"Date","Alton PS 3-1: Alton PS 3-1_Water Level - Logger (Compensated & Corrected-masl)","interpolated climate_Rainfall¹ (mm)","interpolated climate_Snowmelt¹ (mm)"
2004-06-25,,0,0
2004-06-26,,0,0
2004-06-27,,2,0
2004-06-28,,1.5,0
2004-06-29,,0,0
2004-06-30,,0,0
2004-07-01,,0,0
2004-07-02,,0,0
2004-07-03,,0,0
2004-07-04,,17.6000003814697,0
2004-07-05,,0.5,0
2004-07-06,,8,0
2004-07-07,,18,0
2004-07-08,,0.5,0
2004-07-09,,0,0
2004-07-10,,0,0
2004-07-11,,0,0
2004-07-12,,0,0
2004-07-13,,18.6000003814697,0
2004-07-14,,2,0
2004-07-15,,5.90000009536743,0
2004-07-16,,0,0
2004-07-17,,3.5,0
2004-07-18,,2,0
2004-07-19,,5,0
2004-07-20,,1,0
2004-07-21,,0,0
2004-07-22,,2,0
2004-07-23,,0,0
2004-07-24,,0,0
2004-07-25,,0,0
2004-07-26,,4.80000019073486,0
2004-07-27,,4.80000019073486,0
2004-07-28,,0.5,0
2004-07-29,,0,0
2004-07-30,,22,0
2004-07-31,,0,0
2004-08-01,,0,0
2004-08-02,,3.79999995231628,0
2004-08-03,,0.800000011920929,0
2004-08-04,,2.20000004768372,0
2004-08-05,,0,0
2004-08-06,,0,0
2004-08-07,,0,0
2004-08-08,,0,0
2004-08-09,,0,0
2004-08-10,,0.5,0
2004-08-11,,13.1999998092651,0
2004-08-12,,0,0
2004-08-13,,2,0
2004-08-14,,0,0
2004-08-15,,0.300000011920929,0
2004-08-16,,0,0
2004-08-17,,1.20000004768372,0
2004-08-18,,0,0
2004-08-19,,0,0
2004-08-20,,0,0
2004-08-21,,0,0
2004-08-22,,0,0
2004-08-23,,0,0
2004-08-24,,0,0
2004-08-25,,2.20000004768372,0
2004-08-26,,0.600000023841858,0
2004-08-27,,19,0
2004-08-28,,0,0
2004-08-29,,15,0
2004-08-30,,0,0
2004-08-31,,0,0
2004-09-01,,0,0
2004-09-02,,0,0
2004-09-03,,0,0
2004-09-04,,0,0
2004-09-05,,0,0
2004-09-06,,1.79999995231628,0
2004-09-07,,2.79999995231628,0
2004-09-08,,31.5,0
2004-09-09,,3.59999990463257,0
2004-09-10,,0,0
2004-09-11,,0,0
2004-09-12,,0,0
2004-09-13,,0,0
2004-09-14,,0,0
2004-09-15,,0,0
2004-09-16,,0,0
2004-09-17,,0,0
2004-09-18,,0,0
2004-09-19,,0,0
2004-09-20,,0,0
2004-09-21,,0,0
2004-09-22,,0,0
2004-09-23,,0,0
2004-09-24,,0,0
2004-09-25,,0,0
2004-09-26,,0,0
2004-09-27,,0,0
2004-09-28,,0,0
2004-09-29,,0,0
2004-09-30,,0,0
2004-10-01,,0,0
2004-10-02,,4,0
2004-10-03,,0.200000002980232,0
2004-10-04,,0,0
2004-10-05,,0,0
2004-10-06,,0,0
2004-10-07,,0,0
2004-10-08,,5,0
2004-10-09,,0,0
2004-10-10,,0,0
2004-10-11,,0,0
2004-10-12,,0,0
2004-10-13,,0.200000002980232,0
2004-10-14,,0.200000002980232,0
2004-10-15,,17,0
2004-10-16,,4,0
2004-10-17,,6,0
2004-10-18,,0,0
2004-10-19,,0.400000005960464,0
2004-10-20,,1.39999997615814,0
2004-10-21,,0,0
2004-10-22,,0,0
2004-10-23,,2.09999990463257,0
2004-10-24,,1.39999997615814,0
2004-10-25,,0,0
2004-10-26,,1.20000004768372,0
2004-10-27,,0.800000011920929,0
2004-10-28,,0,0
2004-10-29,,10.5,0
2004-10-30,,2,0
2004-10-31,,2,0
2004-11-01,,15.5,0
2004-11-02,,2,0
2004-11-03,,0,0
2004-11-04,,25.1000003814697,1
2004-11-05,,5.19999980926514,0
