,station_id,station_name,Longitude,Latitude,Pmin,Pmean,Pmax,Tmin,Tmean,Tmax
8,240000029,ALGONQUIN PARK EAST GATE,-78.26667022705078,45.533294677734375,822.5,976.5126,1214.0,2.7265928,5.6667805,9.926436
24,-431470334,BALDWIN,-79.30999755859375,44.26000213623047,621.7,801.74286,947.0,5.7489853,7.679971,9.173043
27,148233,BANCROFT AUTO,-77.88333129882812,45.06664276123047,780.6,950.27997,1069.4,3.3743017,5.3435674,10.202373
36,-1082609983,BARRIE-ORO,-79.55000305175781,44.47999954223633,696.6,857.1,986.0,4.4935393,6.4003754,8.091185
40,360000023,BEATRICE CLIMATE,-79.40000915527344,45.140018463134766,839.1,1102.8445,1362.5,2.7967837,4.997159,6.650829
47,147949,BELLEVILLE,-77.4000015258789,44.15002441406249,731.6,869.24005,1083.4,6.0984707,8.749595,12.161592
114,1183003456,CENTREVILLE,-76.9078140258789,44.403324127197266,804.6,968.89996,1234.8,6.135588,7.759772,9.2534485
126,147996,COBOURG (AUT),-78.16667175292969,43.94997787475586,795.1,917.8333,1091.2,5.988611,7.911895,9.738291
135,147794,COLDWATER WARMINSTER,-79.53333282470703,44.63336944580078,997.6,1134.9332,1317.6,4.70531,7.8666115,11.242658
136,147796,COLLINGWOOD,-80.21666717529297,44.500022888183594,515.0,765.3125,943.5,6.115278,8.137902,9.825344
163,-344648617,EGBERT CS,-79.77999877929688,44.229976654052734,536.5,742.08887,859.6,5.6491327,7.7631516,10.971329
164,360000026,EGBERT CS,-79.78001403808594,44.229976654052734,536.5,742.08887,859.6,5.6491327,7.7631516,10.971329
169,1885688638,ELORA RCS,-80.41667175292969,43.65003967285156,683.3,902.3,1131.1,5.3194804,6.8121595,8.577411
179,147902,FERGUS MOE,-80.38333892822266,43.70001602172851,741.9,978.9428,1150.4,5.1747923,7.2819343,10.534555
180,147903,FERGUS SHAND DAM,-80.33333587646484,43.73332214355469,834.6,1002.2112,1182.5,5.387879,7.386266,9.139617
215,148249,HALIBURTON 3,-78.53334045410156,45.033302307128906,939.0,1131.4624,1342.0,2.6453946,5.2162,7.3332396
224,941378414,HAMILTON RBG CS,-79.91667175292969,43.299999237060554,650.9,814.0572,962.7,3.9019608,9.859462,19.405186
269,360000029,KITCHENER/WATERLOO,-80.3800048828125,43.46003723144531,550.3,746.12,920.0,5.069364,7.375154,9.096132
282,-2132663510,LONDON CS,-81.1500015258789,43.033355712890625,743.6,935.09,1073.5,6.3895183,8.559399,10.218356
328,147924,MOUNT FOREST (AUT),-80.75,43.98331451416016,720.9,885.45,1038.4,4.7752776,6.8334846,8.511507
332,360000032,MUSKOKA,-79.30001068115234,44.969966888427734,800.6,893.84,965.5,3.3439655,5.6617575,7.15656
352,-181619022,OAKVILLE TWN,-79.68000793457031,43.51001739501953,736.2,853.39,958.4,7.6702776,9.57815,11.312947
364,360000034,OSHAWA,-78.88001251220703,43.919979095458984,549.0,710.1,865.3,6.25961,7.786107,9.218018
375,-1527567783,PARRY SOUND CCG,-80.0441665649414,45.344181060791016,530.0,894.525,1104.8,4.8547487,7.0541434,10.241026
381,360000036,PETERBOROUGH,-78.36000061035156,44.23001480102539,491.2,695.7286,806.8,5.219373,6.8475404,8.417778
382,471926899,PETERBOROUGH,-78.36000061035156,44.23001480102539,491.2,695.7286,806.8,5.219373,6.8475404,8.417778
391,-661070265,PETERBOROUGH TRENT U,-78.30000305175781,44.34996795654297,769.1,874.2572,963.4,4.833518,7.254451,10.7774315
401,148092,POINT PETRE (AUT),-77.1500015258789,43.833332061767585,773.6,897.14996,1110.4,5.047742,8.143638,10.003022
431,1272441443,ROSEVILLE,-80.46665954589844,43.34999084472656,744.9,855.3667,980.3,5.7600584,8.364039,10.133431
445,147857,SHANTY BAY,-79.63333129882812,44.400001525878906,829.1,956.11005,1122.6,5.8061624,7.621824,9.566574
474,-1205917226,STRATHROY-MULLIFARRY,-81.6427993774414,42.98059082031249,811.6,1003.66,1177.8,6.73,8.843647,10.725956
507,2120028627,TORONTO CITY,-79.4000015258789,43.666709899902344,661.7,828.04443,1125.1,8.035475,9.868935,11.599454
508,360000042,TORONTO CITY CENTRE,-79.40000915527344,43.629974365234375,508.5,717.24445,911.9,7.230595,9.159267,10.90625
532,360000043,TORONTO INTL A,-79.63001251220703,43.679962158203125,606.0,771.63745,929.2,7.1170797,10.138866,19.89151
552,148185,TORONTO NORTH YORK,-79.46666717529297,43.78332519531249,641.3,893.7125,1064.6,3.2133927,8.208204,10.686338
577,148208,TRENTON A,-77.53333282470703,44.11669921875,758.5,941.30005,1134.0,3.55,8.608801,18.885715
587,147873,UDORA,-79.16666412353516,44.266704559326165,728.6,859.77997,998.1,6.0622854,7.5122986,9.008781
