source,target,value
0,180,1
0,169,2
0,102,1
0,1,2
0,143,2
0,143,2
0,143,2
0,143,2
0,143,2
0,143,2
0,143,2
0,149,2
0,144,2
0,177,2
0,192,2
0,210,2
0,171,1
0,207,2
0,194,2
0,203,2
0,196,2
0,172,1
0,105,2
0,107,2
0,109,2
0,111,2
0,110,2
0,140,2
0,139,2
0,116,2
0,142,2
0,2,2
0,193,2
0,148,2
2,147,1
2,174,1
2,163,1
2,150,1
39,41,1
43,44,1
55,50,1
55,51,1
55,52,1
55,54,1
55,53,1
67,93,1
101,175,1
101,2,1
101,163,1
101,111,1
101,159,1
101,156,1
101,158,1
101,155,1
101,209,1
101,180,1
101,186,1
101,187,1
101,191,1
101,143,1
101,194,1
102,103,1
102,3,1
102,3,1
102,4,1
102,11,1
102,5,1
102,6,1
102,7,1
102,8,1
102,9,1
102,10,1
102,12,1
102,13,1
102,14,1
102,15,1
102,16,1
102,17,1
102,18,1
102,19,1
102,20,1
102,21,1
102,22,1
102,23,1
102,24,1
102,25,1
102,26,1
102,27,1
102,28,1
102,29,1
102,30,1
102,31,1
102,32,1
102,33,1
102,34,1
102,35,1
102,36,1
102,37,1
102,38,1
102,38,1
102,38,1
102,38,1
102,38,1
102,38,1
102,39,1
102,40,1
102,42,1
102,43,1
102,45,1
102,46,1
102,104,1
102,47,1
102,48,1
102,49,1
102,55,1
102,56,1
102,57,1
102,58,1
102,59,1
102,60,1
102,61,1
102,62,1
102,63,1
102,64,1
102,65,1
102,66,1
102,67,1
102,68,1
102,69,1
102,70,1
102,71,1
102,72,1
102,73,1
102,74,1
102,75,1
102,76,1
102,77,1
102,78,1
102,79,1
102,80,1
102,81,1
102,82,1
102,83,1
102,84,1
102,85,1
102,86,1
102,87,1
102,88,1
102,89,1
102,90,1
102,91,1
102,92,1
102,94,1
102,95,1
102,96,1
102,97,1
102,98,1
102,99,1
102,100,1
102,101,1
105,121,2
105,120,2
105,117,2
105,136,2
105,1,1
105,119,2
105,118,2
105,141,2
105,135,2
105,128,2
105,133,2
105,127,2
105,126,2
105,125,2
105,138,2
105,137,2
105,111,2
105,110,2
105,140,2
105,134,2
105,107,2
105,142,2
105,109,2
105,139,2
105,116,2
105,106,2
105,108,2
111,115,2
111,114,2
111,113,2
111,112,2
111,112,2
111,178,1
111,179,1
121,123,2
121,122,2
121,124,2
122,0,1
122,0,1
123,0,1
123,0,1
124,0,1
124,0,1
128,131,2
128,130,2
128,126,1
128,129,2
128,132,2
129,0,1
129,0,1
130,0,1
130,0,1
131,0,1
131,0,1
132,0,1
132,0,1
134,107,1
134,142,1
134,109,1
134,139,1
134,116,1
134,207,1
134,207,1
134,161,1
134,168,1
134,209,1
134,143,1
134,168,1
137,111,1
137,110,1
137,140,1
138,148,1
143,102,1
143,174,2
143,146,2
143,176,2
143,173,2
143,1,1
143,121,1
143,120,1
143,117,1
143,136,1
143,208,1
143,192,1
143,17,1
143,183,1
143,155,2
143,156,2
143,158,2
143,173,2
143,111,1
143,147,2
143,171,2
143,163,1
143,151,1
143,210,1
143,210,1
143,153,2
143,1,1
143,210,1
143,181,1
143,2,1
143,193,1
143,111,1
143,110,1
143,180,1
143,184,1
143,185,1
143,186,1
143,187,1
143,188,1
143,189,1
143,190,1
143,191,1
143,153,2
143,209,1
143,154,2
143,157,2
143,172,2
143,171,2
143,151,1
143,163,1
143,147,2
143,150,2
143,143,2
143,143,2
143,143,2
143,143,2
143,163,1
143,207,1
143,207,1
143,207,1
143,160,2
143,168,2
143,163,1
143,156,2
143,154,2
143,157,2
143,171,2
