sws_id,precipitation,rainfall,snowfall,snowmelt,air_pressure,air_temperature,relative_humidity,wind_speed,potential_evaporation
1088120,957.21655,473.81128,483.40524,482.7976,96.199585,4.695098,0.76967096,1.4087878,839.70746
1223024,962.5713,481.88904,480.68222,483.90665,96.2329,4.7281156,0.76941746,1.4222969,845.3071
1318080,954.00446,496.26767,457.7368,458.79947,96.27352,4.7485423,0.7697985,1.4415541,842.86194
1492963,983.0375,508.40625,474.6312,477.32825,96.41568,4.8037887,0.76947814,1.4734945,852.1017
1628076,977.6952,519.10364,458.59152,458.8256,96.35286,4.8046317,0.7696385,1.4736172,849.25525
1717932,984.6805,502.512,482.1685,484.09534,96.43917,4.870485,0.76955086,1.5239909,858.24133
1748078,969.5262,506.1514,463.3748,463.8386,96.27839,4.8454356,0.7697615,1.4972583,849.06805
1988035,982.1061,522.66693,459.43912,459.1926,96.58258,4.88177,0.7695926,1.5238087,855.3244
1947941,984.69495,523.19006,461.50485,461.591,96.63503,4.9172087,0.76958096,1.5541245,860.1708
1992833,991.40295,506.5654,484.8376,484.04584,96.74813,4.9676294,0.76984733,1.6134617,867.8098
2067909,984.68,527.1467,457.53326,458.8253,96.74226,4.945056,0.769667,1.5828662,864.08923
2328162,972.11414,503.52426,468.58987,469.72916,96.376755,4.9142222,0.76955944,1.5312108,852.1489
2078051,975.87427,518.49994,457.37433,459.34073,96.6304,4.9350033,0.76949435,1.5568545,858.97125
2272615,1002.69666,518.5372,484.15945,486.62445,96.775505,5.0684776,0.770557,1.7274792,876.76465
2288056,972.2813,510.07022,462.2111,463.70453,96.48675,4.9713836,0.76929593,1.5692656,859.53864
2237869,987.4829,522.9832,464.49973,464.44656,96.85114,5.003637,0.7697737,1.6329346,868.9495
2252734,1004.8386,523.97784,480.8608,481.84686,96.79021,5.059399,0.7703742,1.7100317,875.58
2432826,991.2385,528.61255,462.626,464.77542,96.8752,5.048028,0.7700622,1.68377,873.54974
2142983,986.98315,530.159,456.82413,458.35056,96.80254,5.021101,0.76956964,1.6331954,868.668
2368004,974.2529,518.9983,455.25464,456.95642,96.75872,4.9956856,0.7693372,1.5961285,863.927
2638178,971.41644,508.27075,463.1457,464.5529,96.682556,4.986846,0.7690942,1.5636573,857.309
2508226,956.67676,501.90857,454.7682,454.39795,96.65435,4.9674788,0.7692754,1.5449964,851.1863
2642469,1016.72687,527.31433,489.41254,489.547,97.16008,5.1970077,0.77160287,1.8788476,884.9872
2407587,1000.45056,521.3035,479.14706,481.8295,96.91962,5.171567,0.7711799,1.8381369,883.6316
2642714,1001.7158,521.666,480.04977,481.8819,96.92152,5.156002,0.77078617,1.8054566,882.16626
2547774,989.2505,519.31604,469.93445,471.65936,96.94768,5.127771,0.7703387,1.7600178,879.5151
2577526,1001.07587,526.7757,474.30017,477.83234,97.04569,5.1963844,0.7714638,1.8724272,885.2673
2517816,988.8156,504.68704,484.12857,483.99487,96.96379,5.1059785,0.76997334,1.7234911,877.0239
2487482,1012.4573,527.85974,484.5975,485.9452,97.17138,5.2052097,0.7715999,1.8868068,885.7694
2547932,987.1057,530.19086,456.9149,457.89468,96.87157,5.082808,0.7694719,1.6775882,873.34314
2583396,952.0465,494.61353,457.43298,459.4486,96.52219,4.9804616,0.7696298,1.5465547,843.75
2613270,956.5163,498.42224,458.09406,460.89648,96.70224,5.0178366,0.7688136,1.5556992,852.4277
2633081,974.9687,513.8211,461.14758,461.33078,96.54707,5.0564914,0.7688981,1.6213362,867.26117
2908160,967.322,501.45013,465.87186,467.25717,96.91883,5.1161075,0.7678691,1.6155295,868.07135
2473238,956.80237,488.84305,467.9593,470.08038,96.83812,5.045861,0.76845604,1.5724726,858.3714
3037240,1025.3322,531.6141,493.71808,494.89914,97.30846,5.343024,0.7725369,2.044554,891.91315
2817964,981.0604,516.65063,464.4098,464.8431,96.918846,5.131419,0.7691742,1.7027596,876.5243
2783327,956.6135,504.7806,451.83292,451.89484,96.62566,5.027041,0.7688016,1.5548029,850.581
